index,field,id,title,web,paper,interview,Genre,Social,Environmental,Health,News,Daily,Business,Urban,Geography,Mixed,Inform,Engage,Experiment,Provoke,Advocate,Socialize,Heal,Empower,Commemorate,Archive,Imagery,Color,Kinetics,Sound,Tangible,Smell,Shape,Taste,Typeface,Proximity,Anthropomorphism,Structure,Wording,Manipulate,Create,Walk,Situated,Immersive
42,environmental sciences & ecology,p42,Res Extensae,,http://hdl.handle.net/1853/60068,,installation,,x,,,,,,,,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,
43,environmental sciences & ecology,p43,Move&Find,,https://doi.org/10.1109/MCG.2020.3025385,,installation,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,x,,,,
44,environmental sciences & ecology,p44,InterANTARCTICA,https://www.caitilin.com.au/interantarctica,https://doi.org/10.1109/PacificVis.2014.39,,installation,,x,,,,,,,,x,,,,,,,,,,x,,,x,,,,,,,,,,x,,,,x
45,environmental sciences & ecology,p45,Reefs on the Edge,https://www.caitilin.com.au/reefs-on-the-edge,https://doi.org/10.1109/PacificVis.2014.39,,installation,,x,,,,,,,,x,,,,,,,,,,x,,,x,,,,,,,,,,x,,,,x
46,environmental sciences & ecology,p46,Neighbourhood Scoreboards,https://neighbourhoodscoreboards.com/,https://doi.org/10.1109/PacificVis.2014.39,,installation,,x,,,,,,,,,,,,x,,,,,,x,,,,,,,,,x,,,,,,,x,
47,environmental sciences & ecology,p47,RisingEMOTIONS,https://www.codaworx.com/projects/risingemotions/,https://doi.org/10.1145/3450741.3465259,,installation + event,,x,,,,,,,,x,x,,,,x,,,,,,x,,,,,,,,x,,,,,x,x,x,
48,environmental sciences & ecology,p48,A Conversation Between Trees,,https://doi.org/10.1145/2470654.2470673,,installation + event,,x,,,,,,,,,x,,,,x,,,,,x,,x,,,x,,,,,,,,,,x,,
49,environmental sciences & ecology,p49,Air Quality Balloons,,https://doi.org/10.1145/2030112.2030145,,installation + event + artifact,,x,,,,,,,,,x,x,x,x,x,,,,,x,x,,,,,,,,,,,,x,x,,x,
50,news & media,p50,News feed,https://rudolfoquintas.com/News-Feed,,,installation,,,,x,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,
51,mixed topics,p51,Sight on Local Data,,https://visap.uic.edu/2014/papers/03_Claes_PublicVisualizationStreetArt_VISAP2014.pdf,,installation,,,,,,,,,x,,x,x,,,,,,,,x,,,,,,,,,,,,,,,,x,
52,social issues,p52,Wounded Land,https://ariane-littman.com/2012/08/border-land-alternative-way-of-mapping-jerusalem-2011-12/,,https://www.artiststudiosjlm.org/wounded-land.html,artifact,x,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,
53,social issues,p53,Cartographie sensible (Sensitive Cartography),https://visionscarto.net/cartographie-sensible,,,artifact,x,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,
54,environmental sciences & ecology,p54,The Tempestry Project,https://www.tempestryproject.com/,,https://www.fastcompany.com/90290800/crafting-take-a-dark-turn-in-the-age-of-climate-crisis,artifact,,x,,,,,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,x,,,
55,environmental sciences & ecology,p55,Chemicals in the Creek,http://datalanterns.com/,https://doi.org/10.1109/TVCG.2020.3030472,,artifact + event,,x,,,,,,,,x,x,,x,x,,,x,,,x,,,,,,,,,,,,,x,,,x,
56,health & well-being,p56,TastyBeats,,https://doi.org/10.1145/3411764.3445218,,artifact,,,x,,,,,,,x,x,,x,,x,,,,,,,x,,,,,x,,x,,,,,,,,
57,health & well-being,p57,EdiPulse,,https://doi.org/10.1145/3411764.3445218,,artifact,,,x,,,,,,,,,,x,,,,,,,x,,,,,x,,x,,x,,,x,,,,,
58,health & well-being,p58,The Hypertension Singing Bowl,https://sonification.com/2013/07/10/hypertension/,https://doi.org/10.1016/j.ijhcs.2015.08.007,,artifact,,,x,,,,,,,,,,x,,,x,,,,,,,x,,,,,,,,,,x,,,,
59,personal life,p59,Space-time Cubes,https://joannagardener.com/A-Walk-in-the-Park,https://doi.org/10.5194/ica-proc-1-43-2018,,artifact,,,,,x,,,,,,,,,,,,,,x,,x,x,,x,,,,,,,,,,,,,
60,mixed topics,p60,Data Edibilization,,https://doi.org/10.1145/2851581.2892570,,artifact,,,,,,,,,x,x,,x,,,,,,,,,,,,,x,,x,,,,,,,,,,
61,environmental sciences & ecology,p61,Boston Coastline: Future Past,http://www.kanarinka.com/project/boston-coastline-future-past/,,https://www.andisutton.net/boston-coastlines-future-past,event,,x,,,,,,,,x,,,,,x,,,,,,,,,,,,,,x,,,,,x,x,x,
,,,Frequency,,,,,15,15,11,4,3,3,2,2,6,35,27,14,12,11,11,5,4,3,2,32,17,16,12,4,4,3,3,2,16,10,4,4,7,6,5,9,4
